[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000548s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000436s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000400s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b7) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000381s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b8) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000332s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_times_bonus` WHERE did=0 LIMIT 1   [ RunTime:0.004208s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_times_bonus` (`b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`did`,`s_date`,`e_date`) VALUES ('55.17','55.08','0.00','0.00','0.00','0.00','0.00','0.09','0.00','96','1412524799','1412611199') [ RunTime:0.000374s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ route_check ] --START--
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run CheckRoute Behavior [ RunTime:0.001376s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001508s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000953s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001051s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | NOTIC: [8] Array to string conversion CommonAction.class.php 第 160 行.
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_template ] --START--
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000952s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001063s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run ParseTemplate Behavior [ RunTime:0.020740s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024566s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_filter ] --START--
